gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total_Score,Average_Score,Pass/Fail,Performance_Category
female,group A,associate's degree,free/reduced,Not Completed,37,57,56,150,50,Fail,Average
female,group C,high school,standard,Not Completed,81,84,82,247,82.33,Pass,Excellent
female,group C,associate's degree,standard,completed,59,73,72,204,68,Pass,Good
male,group B,some college,free/reduced,Not Completed,55,55,47,157,52.33,Pass,Average
male,group D,associate's degree,standard,Not Completed,72,79,74,225,75,Pass,Good
male,group D,high school,standard,Not Completed,69,75,71,215,71.67,Pass,Good
male,group C,some college,standard,Not Completed,69,64,68,201,67,Pass,Good
female,group C,bachelor's degree,free/reduced,Not Completed,50,60,59,169,56.33,Pass,Average
male,group B,some college,standard,completed,87,84,86,257,85.67,Pass,Excellent
male,group D,some high school,standard,completed,71,69,68,208,69.33,Pass,Good
male,group E,some college,standard,Not Completed,68,72,65,205,68.33,Pass,Good
male,group C,master's degree,free/reduced,completed,79,77,75,231,77,Pass,Good
female,group C,some high school,standard,completed,77,90,85,252,84,Pass,Excellent
male,group C,associate's degree,free/reduced,Not Completed,58,55,53,166,55.33,Pass,Average
female,group E,associate's degree,standard,Not Completed,84,95,92,271,90.33,Pass,Excellent
male,group D,some college,standard,Not Completed,55,58,52,165,55,Pass,Average
male,group E,bachelor's degree,free/reduced,completed,70,68,72,210,70,Pass,Good
female,group D,some college,free/reduced,completed,52,59,65,176,58.67,Pass,Average
male,group B,some college,standard,completed,69,77,77,223,74.33,Pass,Good
female,group C,high school,free/reduced,Not Completed,53,72,64,189,63,Pass,Good
female,group D,some high school,standard,Not Completed,48,58,54,160,53.33,Pass,Average
male,group D,some high school,standard,completed,78,81,86,245,81.67,Pass,Excellent
female,group B,high school,standard,Not Completed,62,62,63,187,62.33,Pass,Good
male,group D,some college,standard,Not Completed,60,63,59,182,60.67,Pass,Good
female,group B,high school,standard,Not Completed,74,72,72,218,72.67,Pass,Good
female,group C,high school,standard,completed,58,75,77,210,70,Pass,Good
male,group B,high school,standard,completed,76,62,60,198,66,Pass,Good
female,group D,some high school,standard,Not Completed,68,71,75,214,71.33,Pass,Good
male,group A,some college,free/reduced,Not Completed,58,60,57,175,58.33,Pass,Average
male,group B,high school,standard,Not Completed,52,48,49,149,49.67,Pass,Average
male,group D,bachelor's degree,standard,Not Completed,75,73,74,222,74,Pass,Good
female,group B,some high school,free/reduced,completed,52,67,72,191,63.67,Pass,Good
female,group C,bachelor's degree,free/reduced,Not Completed,62,78,79,219,73,Pass,Good
male,group B,some college,standard,Not Completed,66,65,60,191,63.67,Pass,Good
female,group B,some high school,free/reduced,Not Completed,49,58,55,162,54,Pass,Average
female,group B,high school,standard,Not Completed,66,72,70,208,69.33,Pass,Good
female,group C,some college,free/reduced,Not Completed,35,44,43,122,40.67,Fail,Average
female,group A,some college,standard,completed,72,79,82,233,77.67,Pass,Good
male,group E,associate's degree,standard,completed,94,85,82,261,87,Pass,Excellent
female,group D,associate's degree,free/reduced,Not Completed,46,56,57,159,53,Pass,Average
female,group B,master's degree,standard,Not Completed,77,90,84,251,83.67,Pass,Excellent
female,group B,high school,free/reduced,completed,76,85,82,243,81,Pass,Excellent
female,group C,associate's degree,standard,completed,52,59,62,173,57.67,Pass,Average
male,group C,bachelor's degree,standard,completed,91,81,79,251,83.67,Pass,Excellent
female,group B,some high school,standard,completed,32,51,44,127,42.33,Fail,Average
female,group E,some high school,free/reduced,Not Completed,72,79,77,228,76,Pass,Good
female,group B,some college,standard,Not Completed,19,38,32,89,29.67,Fail,Needs Improvement
male,group C,associate's degree,free/reduced,Not Completed,68,65,61,194,64.67,Pass,Good
female,group C,master's degree,free/reduced,Not Completed,52,65,61,178,59.33,Pass,Average
female,group B,high school,standard,Not Completed,48,62,60,170,56.67,Pass,Average
female,group D,some college,free/reduced,Not Completed,60,66,70,196,65.33,Pass,Good
male,group D,high school,free/reduced,Not Completed,66,74,69,209,69.67,Pass,Good
male,group E,some high school,standard,completed,89,84,77,250,83.33,Pass,Excellent
female,group B,high school,standard,Not Completed,42,52,51,145,48.33,Pass,Average
female,group E,associate's degree,free/reduced,completed,57,68,73,198,66,Pass,Good
male,group D,high school,standard,Not Completed,70,70,70,210,70,Pass,Good
female,group E,associate's degree,free/reduced,Not Completed,70,84,81,235,78.33,Pass,Good
male,group E,some college,standard,Not Completed,69,60,54,183,61,Pass,Good
female,group C,associate's degree,standard,Not Completed,52,55,57,164,54.67,Pass,Average
male,group C,some high school,standard,completed,67,73,68,208,69.33,Pass,Good
male,group C,some high school,standard,completed,76,80,73,229,76.33,Pass,Good
female,group E,associate's degree,standard,Not Completed,87,94,95,276,92,Pass,Excellent
female,group B,some college,standard,Not Completed,82,85,87,254,84.67,Pass,Excellent
female,group C,some college,standard,Not Completed,73,76,78,227,75.67,Pass,Good
male,group A,some college,free/reduced,Not Completed,75,81,74,230,76.67,Pass,Good
female,group D,some college,free/reduced,Not Completed,64,74,75,213,71,Pass,Good
female,group E,high school,free/reduced,Not Completed,41,45,40,126,42,Pass,Average
male,group C,high school,standard,Not Completed,90,75,69,234,78,Pass,Good
male,group B,bachelor's degree,standard,Not Completed,59,54,51,164,54.67,Pass,Average
male,group A,some high school,standard,Not Completed,51,31,36,118,39.33,Fail,Needs Improvement
male,group A,high school,free/reduced,Not Completed,45,47,49,141,47,Pass,Average
female,group C,master's degree,standard,completed,54,64,67,185,61.67,Pass,Good
male,group E,some high school,standard,completed,87,84,76,247,82.33,Pass,Excellent
female,group C,high school,standard,Not Completed,72,80,83,235,78.33,Pass,Good
male,group B,some high school,standard,completed,94,86,87,267,89,Pass,Excellent
female,group A,bachelor's degree,standard,Not Completed,45,59,64,168,56,Pass,Average
male,group D,bachelor's degree,free/reduced,completed,61,70,76,207,69,Pass,Good
female,group B,high school,free/reduced,Not Completed,60,72,68,200,66.67,Pass,Good
female,group C,some high school,standard,Not Completed,77,91,88,256,85.33,Pass,Excellent
female,group A,some high school,standard,completed,85,90,92,267,89,Pass,Excellent
female,group D,bachelor's degree,free/reduced,Not Completed,78,90,93,261,87,Pass,Excellent
male,group E,some college,free/reduced,completed,49,52,51,152,50.67,Pass,Average
female,group B,high school,free/reduced,Not Completed,71,87,82,240,80,Pass,Excellent
female,group C,some high school,free/reduced,Not Completed,48,58,52,158,52.67,Pass,Average
male,group C,high school,standard,Not Completed,62,67,58,187,62.33,Pass,Good
female,group C,associate's degree,free/reduced,completed,56,68,70,194,64.67,Pass,Good
female,group C,some high school,standard,Not Completed,65,69,76,210,70,Pass,Good
female,group D,some high school,free/reduced,completed,69,86,81,236,78.67,Pass,Good
male,group B,some high school,standard,Not Completed,68,54,53,175,58.33,Pass,Average
female,group A,some college,free/reduced,Not Completed,61,60,57,178,59.33,Pass,Average
female,group C,bachelor's degree,free/reduced,completed,74,86,89,249,83,Pass,Excellent
male,group A,bachelor's degree,standard,Not Completed,64,60,58,182,60.67,Pass,Good
female,group B,high school,standard,completed,77,82,89,248,82.67,Pass,Excellent
male,group B,some college,standard,Not Completed,58,50,45,153,51,Pass,Average
female,group C,high school,standard,completed,60,64,74,198,66,Pass,Good
male,group E,high school,standard,Not Completed,73,64,57,194,64.67,Pass,Good
female,group A,high school,standard,completed,75,82,79,236,78.67,Pass,Good
male,group B,associate's degree,free/reduced,completed,58,57,53,168,56,Pass,Average
female,group C,associate's degree,standard,Not Completed,66,77,73,216,72,Pass,Good
female,group D,high school,free/reduced,Not Completed,39,52,46,137,45.67,Fail,Average
male,group C,some high school,standard,Not Completed,64,58,51,173,57.67,Pass,Average
female,group B,high school,free/reduced,completed,23,44,36,103,34.33,Fail,Needs Improvement
male,group B,some college,free/reduced,completed,74,77,76,227,75.67,Pass,Good
female,group D,some high school,free/reduced,completed,40,65,64,169,56.33,Pass,Average
male,group E,master's degree,standard,Not Completed,90,85,84,259,86.33,Pass,Excellent
male,group C,master's degree,standard,completed,91,85,85,261,87,Pass,Excellent
male,group D,high school,standard,Not Completed,64,54,50,168,56,Pass,Average
female,group C,high school,standard,Not Completed,59,72,68,199,66.33,Pass,Good
male,group D,associate's degree,standard,Not Completed,80,75,69,224,74.67,Pass,Good
male,group C,master's degree,standard,Not Completed,71,67,67,205,68.33,Pass,Good
female,group A,high school,standard,Not Completed,61,68,63,192,64,Pass,Good
female,group E,some college,standard,Not Completed,87,85,93,265,88.33,Pass,Excellent
male,group E,some high school,standard,Not Completed,82,67,61,210,70,Pass,Good
male,group C,some high school,standard,Not Completed,62,64,55,181,60.33,Pass,Good
female,group B,bachelor's degree,standard,Not Completed,97,97,96,290,96.67,Pass,Excellent
male,group B,some college,free/reduced,Not Completed,75,68,65,208,69.33,Pass,Good
female,group C,bachelor's degree,standard,Not Completed,65,79,81,225,75,Pass,Good
male,group B,high school,standard,completed,52,49,46,147,49,Pass,Average
male,group C,associate's degree,free/reduced,Not Completed,87,73,72,232,77.33,Pass,Good
female,group C,associate's degree,standard,Not Completed,53,62,53,168,56,Pass,Average
female,group E,master's degree,free/reduced,Not Completed,81,86,87,254,84.67,Pass,Excellent
male,group D,bachelor's degree,free/reduced,completed,39,42,38,119,39.67,Fail,Needs Improvement
female,group C,some college,standard,completed,71,71,80,222,74,Pass,Good
male,group C,associate's degree,standard,Not Completed,97,93,91,281,93.67,Pass,Excellent
male,group D,some college,standard,completed,82,82,88,252,84,Pass,Excellent
male,group C,high school,free/reduced,Not Completed,59,53,52,164,54.67,Pass,Average
male,group B,associate's degree,standard,Not Completed,61,42,41,144,48,Pass,Average
male,group E,associate's degree,free/reduced,completed,78,74,72,224,74.67,Pass,Good
male,group C,associate's degree,free/reduced,Not Completed,49,51,51,151,50.33,Pass,Average
male,group B,high school,standard,Not Completed,59,58,47,164,54.67,Pass,Average
female,group C,some college,standard,completed,70,72,76,218,72.67,Pass,Good
male,group B,associate's degree,standard,completed,82,84,78,244,81.33,Pass,Excellent
male,group E,associate's degree,free/reduced,Not Completed,90,90,82,262,87.33,Pass,Excellent
female,group C,bachelor's degree,free/reduced,Not Completed,43,62,61,166,55.33,Pass,Average
male,group C,some college,free/reduced,Not Completed,80,64,66,210,70,Pass,Good
male,group D,some college,standard,Not Completed,81,82,84,247,82.33,Pass,Excellent
male,group C,some high school,standard,Not Completed,57,61,54,172,57.33,Pass,Average
female,group D,some high school,standard,Not Completed,59,72,80,211,70.33,Pass,Good
female,group D,associate's degree,standard,Not Completed,64,76,74,214,71.33,Pass,Good
male,group C,bachelor's degree,standard,completed,63,64,66,193,64.33,Pass,Good
female,group E,bachelor's degree,standard,completed,71,70,70,211,70.33,Pass,Good
female,group B,high school,free/reduced,Not Completed,64,73,71,208,69.33,Pass,Good
male,group D,bachelor's degree,free/reduced,Not Completed,55,46,44,145,48.33,Pass,Average
female,group E,associate's degree,standard,Not Completed,51,51,54,156,52,Pass,Average
female,group C,associate's degree,standard,completed,62,76,80,218,72.67,Pass,Good
female,group E,associate's degree,standard,completed,93,100,95,288,96,Pass,Excellent
male,group C,high school,free/reduced,Not Completed,54,72,59,185,61.67,Pass,Good
female,group D,some college,free/reduced,Not Completed,69,65,74,208,69.33,Pass,Good
male,group D,high school,free/reduced,Not Completed,44,51,48,143,47.67,Pass,Average
female,group E,some college,standard,completed,86,85,91,262,87.33,Pass,Excellent
female,group E,associate's degree,standard,Not Completed,85,92,85,262,87.33,Pass,Excellent
female,group A,master's degree,free/reduced,Not Completed,50,67,73,190,63.33,Pass,Good
male,group D,some high school,standard,completed,88,74,75,237,79,Pass,Good
female,group E,associate's degree,standard,Not Completed,59,62,69,190,63.33,Pass,Good
female,group E,some high school,free/reduced,Not Completed,32,34,38,104,34.67,Fail,Needs Improvement
male,group B,high school,free/reduced,Not Completed,36,29,27,92,30.67,Fail,Needs Improvement
female,group B,some high school,free/reduced,completed,63,78,79,220,73.33,Pass,Good
male,group D,associate's degree,standard,completed,67,54,63,184,61.33,Pass,Good
female,group D,some high school,standard,completed,65,78,82,225,75,Pass,Good
male,group D,master's degree,standard,Not Completed,85,84,89,258,86,Pass,Excellent
female,group C,master's degree,standard,Not Completed,73,78,74,225,75,Pass,Good
female,group A,high school,free/reduced,completed,34,48,41,123,41,Fail,Average
female,group D,bachelor's degree,free/reduced,completed,93,100,100,293,97.67,Pass,Excellent
female,group D,some high school,free/reduced,Not Completed,67,84,84,235,78.33,Pass,Good
male,group D,some college,standard,Not Completed,88,77,77,242,80.67,Pass,Excellent
male,group B,high school,standard,Not Completed,57,48,51,156,52,Pass,Average
female,group D,some college,standard,completed,79,84,91,254,84.67,Pass,Excellent
female,group C,bachelor's degree,free/reduced,Not Completed,67,75,72,214,71.33,Pass,Good
male,group E,bachelor's degree,standard,completed,70,64,70,204,68,Pass,Good
male,group D,bachelor's degree,free/reduced,Not Completed,50,42,48,140,46.67,Pass,Average
female,group A,some college,standard,Not Completed,69,84,82,235,78.33,Pass,Good
female,group C,bachelor's degree,standard,completed,52,61,66,179,59.67,Pass,Average
female,group C,bachelor's degree,free/reduced,completed,47,62,66,175,58.33,Pass,Average
female,group B,associate's degree,free/reduced,Not Completed,46,61,55,162,54,Pass,Average
female,group E,some college,standard,Not Completed,68,70,66,204,68,Pass,Good
male,group E,bachelor's degree,standard,completed,100,100,100,300,100,Pass,Excellent
female,group C,high school,standard,Not Completed,44,61,52,157,52.33,Pass,Average
female,group C,associate's degree,standard,completed,57,77,80,214,71.33,Pass,Good
male,group B,some college,standard,completed,91,96,91,278,92.67,Pass,Excellent
male,group D,high school,free/reduced,Not Completed,69,70,67,206,68.67,Pass,Good
female,group C,high school,free/reduced,Not Completed,35,53,46,134,44.67,Fail,Average
male,group D,high school,standard,Not Completed,72,66,66,204,68,Pass,Good
female,group B,associate's degree,free/reduced,Not Completed,54,65,65,184,61.33,Pass,Good
male,group D,high school,free/reduced,Not Completed,74,70,69,213,71,Pass,Good
male,group E,some high school,standard,completed,74,64,60,198,66,Pass,Good
male,group E,associate's degree,free/reduced,Not Completed,64,56,52,172,57.33,Pass,Average
female,group D,high school,free/reduced,completed,65,61,71,197,65.67,Pass,Good
male,group E,associate's degree,free/reduced,completed,46,43,44,133,44.33,Pass,Average
female,group C,some high school,free/reduced,Not Completed,48,56,51,155,51.67,Pass,Average
male,group C,some college,free/reduced,completed,67,74,70,211,70.33,Pass,Good
male,group D,some college,free/reduced,Not Completed,62,57,62,181,60.33,Pass,Good
male,group D,associate's degree,free/reduced,completed,61,71,73,205,68.33,Pass,Good
male,group C,bachelor's degree,free/reduced,completed,70,75,74,219,73,Pass,Good
male,group C,associate's degree,standard,completed,98,87,90,275,91.67,Pass,Excellent
male,group D,some college,free/reduced,Not Completed,70,63,58,191,63.67,Pass,Good
male,group A,associate's degree,standard,Not Completed,67,57,53,177,59,Pass,Average
female,group E,high school,free/reduced,Not Completed,57,58,57,172,57.33,Pass,Average
male,group D,some college,standard,completed,85,81,85,251,83.67,Pass,Excellent
male,group D,some high school,standard,completed,77,68,69,214,71.33,Pass,Good
male,group C,master's degree,free/reduced,completed,72,66,72,210,70,Pass,Good
female,group D,master's degree,standard,Not Completed,78,91,96,265,88.33,Pass,Excellent
male,group C,high school,standard,Not Completed,81,66,64,211,70.33,Pass,Good
male,group A,some high school,free/reduced,completed,61,62,61,184,61.33,Pass,Good
female,group B,high school,standard,Not Completed,58,68,61,187,62.33,Pass,Good
female,group C,associate's degree,standard,Not Completed,54,61,58,173,57.67,Pass,Average
male,group B,high school,standard,Not Completed,82,82,80,244,81.33,Pass,Excellent
female,group D,some college,free/reduced,Not Completed,49,58,60,167,55.67,Pass,Average
male,group B,some high school,free/reduced,completed,49,50,52,151,50.33,Pass,Average
female,group E,high school,free/reduced,completed,57,75,73,205,68.33,Pass,Good
male,group E,high school,standard,Not Completed,94,73,71,238,79.33,Pass,Good
female,group D,some college,standard,completed,75,77,83,235,78.33,Pass,Good
female,group E,some high school,free/reduced,Not Completed,74,74,72,220,73.33,Pass,Good
male,group C,high school,standard,completed,58,52,54,164,54.67,Pass,Average
female,group C,some college,standard,Not Completed,62,69,69,200,66.67,Pass,Good
male,group E,associate's degree,standard,Not Completed,72,57,62,191,63.67,Pass,Good
male,group C,some college,standard,Not Completed,84,87,81,252,84,Pass,Excellent
female,group D,master's degree,standard,Not Completed,92,100,100,292,97.33,Pass,Excellent
female,group D,high school,standard,Not Completed,45,63,59,167,55.67,Pass,Average
male,group C,high school,standard,Not Completed,75,81,71,227,75.67,Pass,Good
female,group A,some college,standard,Not Completed,56,58,64,178,59.33,Pass,Average
female,group D,some high school,free/reduced,Not Completed,48,54,53,155,51.67,Pass,Average
female,group E,associate's degree,standard,Not Completed,100,100,100,300,100,Pass,Excellent
female,group C,some high school,free/reduced,completed,65,76,75,216,72,Pass,Good
male,group D,some college,standard,Not Completed,72,57,58,187,62.33,Pass,Good
female,group D,some college,standard,Not Completed,62,70,72,204,68,Pass,Good
male,group A,some high school,standard,completed,66,68,64,198,66,Pass,Good
male,group C,some college,standard,Not Completed,63,63,60,186,62,Pass,Good
female,group E,associate's degree,standard,Not Completed,68,76,67,211,70.33,Pass,Good
female,group B,bachelor's degree,standard,Not Completed,75,84,80,239,79.67,Pass,Good
female,group D,bachelor's degree,standard,Not Completed,89,100,100,289,96.33,Pass,Excellent
male,group C,some high school,standard,completed,78,72,69,219,73,Pass,Good
female,group A,high school,free/reduced,completed,53,50,60,163,54.33,Pass,Average
female,group D,some college,free/reduced,Not Completed,49,65,61,175,58.33,Pass,Average
female,group A,some college,standard,Not Completed,54,63,67,184,61.33,Pass,Good
female,group C,some college,standard,completed,64,82,77,223,74.33,Pass,Good
male,group B,some college,free/reduced,completed,60,62,60,182,60.67,Pass,Good
male,group C,associate's degree,standard,Not Completed,62,65,58,185,61.67,Pass,Good
male,group D,high school,standard,completed,55,41,48,144,48,Pass,Average
female,group C,associate's degree,standard,Not Completed,91,95,94,280,93.33,Pass,Excellent
female,group B,high school,free/reduced,Not Completed,8,24,23,55,18.33,Fail,Needs Improvement
male,group D,some high school,standard,Not Completed,81,78,78,237,79,Pass,Good
male,group B,some high school,standard,completed,79,85,86,250,83.33,Pass,Excellent
female,group A,some college,standard,completed,78,87,91,256,85.33,Pass,Excellent
female,group C,some high school,standard,Not Completed,74,75,82,231,77,Pass,Good
male,group A,high school,standard,Not Completed,57,51,54,162,54,Pass,Average
female,group C,associate's degree,standard,Not Completed,40,59,51,150,50,Pass,Average
male,group E,some high school,standard,completed,81,75,76,232,77.33,Pass,Good
female,group A,some high school,free/reduced,Not Completed,44,45,45,134,44.67,Pass,Average
female,group D,some college,free/reduced,completed,67,86,83,236,78.67,Pass,Good
male,group E,high school,free/reduced,completed,86,81,75,242,80.67,Pass,Excellent
female,group B,some high school,standard,completed,65,82,78,225,75,Pass,Good
female,group D,associate's degree,free/reduced,Not Completed,55,76,76,207,69,Pass,Good
female,group D,bachelor's degree,free/reduced,Not Completed,62,72,74,208,69.33,Pass,Good
male,group A,high school,standard,Not Completed,63,63,62,188,62.67,Pass,Good
female,group E,master's degree,standard,completed,88,99,95,282,94,Pass,Excellent
male,group C,high school,free/reduced,Not Completed,62,55,55,172,57.33,Pass,Average
female,group C,high school,free/reduced,completed,59,71,65,195,65,Pass,Good
female,group D,some college,standard,completed,68,78,77,223,74.33,Pass,Good
female,group D,some college,free/reduced,Not Completed,77,86,86,249,83,Pass,Excellent
